Creating a Policy Walkthrough, Anypont Platform for APIs, current, creating-a-policy-walkthrough.adoc,http://www.mulesoft.org/documentation/display/current/Creating+a+Policy+Walkthrough,
Setting your API URL, Anypont Platform for APIs, current, setting-your-api-url.adoc,http://www.mulesoft.org/documentation/display/current/Anypoint+Studio+March+2015+with+3.6.1+Runtime+-+Update+Site+2+Release+Notes,
Creating an Anypoint Connector Project, DevKit, 3.7, creating-an-anypoint-connector-project.adoc,http://www.mulesoft.org/documentation/display/current/Creating+an+Anypoint+Connector+Project,
Creating an Anypoint Connector Project, DevKit, 3.6, creating-an-anypoint-connector-project.adoc,http://www.mulesoft.org/documentation/display/v/3.6/Creating+an+Anypoint+Connector+Project,
Creating an Anypoint Connector Project, DevKit, 3.5, creating-an-anypoint-connector-project.adoc,http://www.mulesoft.org/documentation/display/v/3.5/Creating+an+Anypoint+Connector+Project,
CloudHub Overview, CloudHub, current, cloudhub-overview.asciidoc,http://www.mulesoft.org/documentation/display/current/cloudhub/cloudhub-overview
